emg_key,participant_id,source,corr,lag,n_mat,n_c3d
EMG_03_R_M_gastro_lat,RD0001,step4,1.0,0,17,17
EMG_03_R_M_gastro_lat,RD0001,raw,1.0,0,17,17
EMG_03_R_M_gastro_lat,RD0006,step4,1.0,0,14,14
EMG_03_R_M_gastro_lat,RD0006,raw,1.0,0,14,14
EMG_03_R_M_gastro_lat,RD0012,step4,1.0,0,22,22
EMG_03_R_M_gastro_lat,RD0012,raw,0.9999999999999999,0,22,22
EMG_03_R_M_gastro_lat,RD0016,step4,0.9995590967892699,0,18,21
EMG_03_R_M_gastro_lat,RD0016,raw,0.9882390679057295,0,18,21
EMG_03_R_M_gastro_lat,RD0024,step4,0.9999999999999998,0,16,16
EMG_03_R_M_gastro_lat,RD0024,raw,1.0000000000000002,0,16,16
EMG_03_R_M_gastro_lat,RD0028,step4,1.0000000000000002,0,12,12
EMG_03_R_M_gastro_lat,RD0028,raw,1.0,0,12,12
EMG_03_R_M_gastro_lat,RD0029,step4,1.0,0,15,15
EMG_03_R_M_gastro_lat,RD0029,raw,0.9999999999999999,0,15,15
EMG_03_R_M_gastro_lat,RD0035,step4,0.9999999999999998,0,13,13
EMG_03_R_M_gastro_lat,RD0035,raw,1.0,0,13,13
EMG_03_R_M_gastro_lat,RD0036,step4,1.0,0,22,22
EMG_03_R_M_gastro_lat,RD0036,raw,0.9999999999999999,0,22,22
EMG_03_R_M_gastro_lat,RD0037,step4,1.0,0,8,8
EMG_03_R_M_gastro_lat,RD0037,raw,1.0,0,8,8
EMG_03_R_M_gastro_lat,RD0041,step4,0.9999999999999998,0,23,23
EMG_03_R_M_gastro_lat,RD0041,raw,1.0000000000000002,0,23,23
EMG_03_R_M_gastro_lat,RD0043,step4,1.0,0,15,15
EMG_03_R_M_gastro_lat,RD0043,raw,1.0000000000000002,0,15,15
EMG_03_R_M_gastro_lat,RD0044,step4,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0044,raw,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0045,step4,1.0000000000000002,0,4,4
EMG_03_R_M_gastro_lat,RD0045,raw,1.0000000000000002,0,4,4
EMG_03_R_M_gastro_lat,RD0047,step4,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0047,raw,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0050,step4,1.0,0,12,12
EMG_03_R_M_gastro_lat,RD0050,raw,1.0,0,12,12
EMG_03_R_M_gastro_lat,RD0051,step4,1.0000000000000002,0,8,8
EMG_03_R_M_gastro_lat,RD0051,raw,0.9999999999999998,0,8,8
EMG_03_R_M_gastro_lat,RD0052,step4,1.0,0,16,16
EMG_03_R_M_gastro_lat,RD0052,raw,1.0,0,16,16
EMG_03_R_M_gastro_lat,RD0055,step4,1.0000000000000002,0,4,4
EMG_03_R_M_gastro_lat,RD0055,raw,1.0,0,4,4
EMG_03_R_M_gastro_lat,RD0057,step4,1.0000000000000002,0,17,17
EMG_03_R_M_gastro_lat,RD0057,raw,1.0000000000000002,0,17,17
EMG_03_R_M_gastro_lat,RD0059,step4,1.0,0,9,9
EMG_03_R_M_gastro_lat,RD0059,raw,1.0,0,9,9
EMG_03_R_M_gastro_lat,RD0060,step4,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0060,raw,1.0,0,6,6
EMG_03_R_M_gastro_lat,RD0064,step4,1.0,0,16,16
EMG_03_R_M_gastro_lat,RD0064,raw,1.0000000000000002,0,16,16
EMG_03_R_M_gastro_lat,RD0072,step4,0.9999999999999999,0,4,4
EMG_03_R_M_gastro_lat,RD0072,raw,1.0,0,4,4
EMG_03_R_M_gastro_lat,RD0075,step4,1.0000000000000002,0,7,7
EMG_03_R_M_gastro_lat,RD0075,raw,1.0000000000000002,0,7,7
EMG_03_R_M_gastro_lat,RD0079,step4,0.9999999999999998,0,9,9
EMG_03_R_M_gastro_lat,RD0079,raw,1.0,0,9,9
EMG_03_R_M_gastro_lat,RD0080,step4,1.0,0,18,18
EMG_03_R_M_gastro_lat,RD0080,raw,0.9999999999999999,0,18,18
EMG_03_R_M_gastro_lat,RD71,step4,1.0000000000000002,0,4,4
EMG_03_R_M_gastro_lat,RD71,raw,1.0,0,4,4
EMG_04_R_M_gastroc_med,RD0001,step4,1.0000000000000002,0,17,17
EMG_04_R_M_gastroc_med,RD0001,raw,1.0000000000000002,0,17,17
EMG_04_R_M_gastroc_med,RD0006,step4,1.0000000000000002,0,14,14
EMG_04_R_M_gastroc_med,RD0006,raw,1.0,0,14,14
EMG_04_R_M_gastroc_med,RD0012,step4,1.0,0,22,22
EMG_04_R_M_gastroc_med,RD0012,raw,1.0,0,22,22
EMG_04_R_M_gastroc_med,RD0016,step4,0.9998213974928862,0,18,21
EMG_04_R_M_gastroc_med,RD0016,raw,0.9534914213822889,0,18,21
EMG_04_R_M_gastroc_med,RD0024,step4,1.0,0,16,16
EMG_04_R_M_gastroc_med,RD0024,raw,0.9999999999999998,0,16,16
EMG_04_R_M_gastroc_med,RD0028,step4,1.0,0,12,12
EMG_04_R_M_gastroc_med,RD0028,raw,1.0,0,12,12
EMG_04_R_M_gastroc_med,RD0029,step4,0.9999999999999998,0,15,15
EMG_04_R_M_gastroc_med,RD0029,raw,1.0000000000000002,0,15,15
EMG_04_R_M_gastroc_med,RD0035,step4,1.0000000000000002,0,13,13
EMG_04_R_M_gastroc_med,RD0035,raw,1.0,0,13,13
EMG_04_R_M_gastroc_med,RD0036,step4,1.0,0,22,22
EMG_04_R_M_gastroc_med,RD0036,raw,0.9999999999999998,0,22,22
EMG_04_R_M_gastroc_med,RD0037,step4,1.0,0,8,8
EMG_04_R_M_gastroc_med,RD0037,raw,1.0,0,8,8
EMG_04_R_M_gastroc_med,RD0041,step4,0.9999999999999998,0,23,23
EMG_04_R_M_gastroc_med,RD0041,raw,1.0,0,23,23
EMG_04_R_M_gastroc_med,RD0043,step4,1.0,0,15,15
EMG_04_R_M_gastroc_med,RD0043,raw,1.0,0,15,15
EMG_04_R_M_gastroc_med,RD0044,step4,1.0000000000000002,0,6,6
EMG_04_R_M_gastroc_med,RD0044,raw,1.0000000000000002,0,6,6
EMG_04_R_M_gastroc_med,RD0045,step4,1.0,0,4,4
EMG_04_R_M_gastroc_med,RD0045,raw,0.9999999999999999,0,4,4
EMG_04_R_M_gastroc_med,RD0047,step4,0.9999999999999998,0,6,6
EMG_04_R_M_gastroc_med,RD0047,raw,1.0000000000000002,0,6,6
EMG_04_R_M_gastroc_med,RD0050,step4,0.9999999999999999,0,12,12
EMG_04_R_M_gastroc_med,RD0050,raw,1.0000000000000002,0,12,12
EMG_04_R_M_gastroc_med,RD0051,step4,1.0,0,8,8
EMG_04_R_M_gastroc_med,RD0051,raw,0.9999999999999999,0,8,8
EMG_04_R_M_gastroc_med,RD0052,step4,0.9999999999999998,0,16,16
EMG_04_R_M_gastroc_med,RD0052,raw,0.9999999999999999,0,16,16
EMG_04_R_M_gastroc_med,RD0055,step4,1.0,0,4,4
EMG_04_R_M_gastroc_med,RD0055,raw,1.0,0,4,4
EMG_04_R_M_gastroc_med,RD0057,step4,1.0,0,17,17
EMG_04_R_M_gastroc_med,RD0057,raw,1.0,0,17,17
EMG_04_R_M_gastroc_med,RD0059,step4,0.9999999999999999,0,9,9
EMG_04_R_M_gastroc_med,RD0059,raw,1.0,0,9,9
EMG_04_R_M_gastroc_med,RD0060,step4,1.0,0,6,6
EMG_04_R_M_gastroc_med,RD0060,raw,0.9999999999999999,0,6,6
EMG_04_R_M_gastroc_med,RD0064,step4,1.0000000000000002,0,16,16
EMG_04_R_M_gastroc_med,RD0064,raw,1.0,0,16,16
EMG_04_R_M_gastroc_med,RD0072,step4,1.0,0,4,4
EMG_04_R_M_gastroc_med,RD0072,raw,1.0000000000000002,0,4,4
EMG_04_R_M_gastroc_med,RD0075,step4,1.0000000000000002,0,7,7
EMG_04_R_M_gastroc_med,RD0075,raw,1.0,0,7,7
EMG_04_R_M_gastroc_med,RD0079,step4,1.0,0,9,9
EMG_04_R_M_gastroc_med,RD0079,raw,1.0,0,9,9
EMG_04_R_M_gastroc_med,RD0080,step4,1.0000000000000002,0,18,18
EMG_04_R_M_gastroc_med,RD0080,raw,1.0,0,18,18
EMG_04_R_M_gastroc_med,RD71,step4,1.0000000000000002,0,4,4
EMG_04_R_M_gastroc_med,RD71,raw,1.0,0,4,4
EMG_05_R_M_soleus,RD0001,step4,1.0,0,17,17
EMG_05_R_M_soleus,RD0001,raw,1.0,0,17,17
EMG_05_R_M_soleus,RD0006,step4,1.0,0,14,14
EMG_05_R_M_soleus,RD0006,raw,1.0,0,14,14
EMG_05_R_M_soleus,RD0012,step4,1.0,0,22,22
EMG_05_R_M_soleus,RD0012,raw,1.0000000000000002,0,22,22
EMG_05_R_M_soleus,RD0016,step4,0.9999185814100017,0,18,21
EMG_05_R_M_soleus,RD0016,raw,0.9658678427210958,0,18,21
EMG_05_R_M_soleus,RD0024,step4,0.9999999999999998,0,16,16
EMG_05_R_M_soleus,RD0024,raw,1.0,0,16,16
EMG_05_R_M_soleus,RD0028,step4,1.0,0,12,12
EMG_05_R_M_soleus,RD0028,raw,0.9999999999999999,0,12,12
EMG_05_R_M_soleus,RD0029,step4,0.9999999999999998,0,15,15
EMG_05_R_M_soleus,RD0029,raw,1.0,0,15,15
EMG_05_R_M_soleus,RD0035,step4,0.9999999999999999,0,13,13
EMG_05_R_M_soleus,RD0035,raw,1.0,0,13,13
EMG_05_R_M_soleus,RD0036,step4,0.9999999999999999,0,22,22
EMG_05_R_M_soleus,RD0036,raw,1.0000000000000002,0,22,22
EMG_05_R_M_soleus,RD0037,step4,1.0,0,8,8
